"","beta1","beta2","beta3","ratio","tausq","m","method","pa"
"178",52.2093745199709,-0.000771124745202426,0.976178961217463,1.8090806747432,0.00630799056664474,"200","R",0.675912436262738
"179",51.3369453809861,0.00406463443041831,0.952257642155943,1.54807731996063,0.0052031284222586,"200","R",0.846267912792356
"180",53.30521481549,0.00991397132872268,0.995156519614284,1.36451856631023,0.0048707661581988,"200","R",0.653081607821425
"181",53.7810086948881,0.00487334631611657,1.00335190480073,1.71683088966193,0.00452948262581539,"200","R",0.806547169072607
"182",52.1078170729144,0.0220774665219146,0.97919893709094,1.62928150906144,0.00484964776803378,"200","R",0.691848325812053
"183",52.248500247958,0.00989848416342454,0.976416109348001,1.44766177926752,0.00536137204322399,"200","R",0.654637950255603
"184",52.044787657852,0.0126508160905265,0.96668645711423,1.42737204417119,0.0172612335646553,"200","R",0.733542397265995
"185",52.4596233156097,0.00894137145229972,0.985666727732547,1.95951261565357,0.00492963829970102,"200","R",0.805794362464078
"186",51.8586610550576,0.0176752227013568,0.96733288705746,1.71509772263228,0.00521084587311958,"200","R",0.656121455474269
"187",53.4247108912836,0.0129860506373868,0.999563548450551,1.47374785437554,0.00425469424941658,"200","R",0.723327454264449
"188",52.2578774966532,0.0113395691771082,0.975163263859178,1.57923276081523,0.00485929452466986,"200","R",0.731349627511716
"189",50.2411942207515,0.0311310281779246,0.93964492158915,1.87061043674144,0.00502344951719655,"200","R",0.723314682511438
"190",52.9587950483264,0.0201076101085964,0.995654014955069,1.96893547309359,0.00448297051043695,"200","R",0.826856619858888
"191",51.0351332645451,0.020188616858372,0.947203616661345,1.34006475036719,0.00507447405006691,"200","R",0.594691069700475
"192",51.4219306674392,0.0186640318523104,0.954825485469613,1.60717684639117,0.00498902274092609,"200","R",0.742482740396053
"193",51.5086712384252,0.016998134682593,0.96044848786635,1.93663149010114,0.0051811127719446,"200","R",0.854563041269583
"194",52.8017580127188,0.0164244561687711,0.99110276333439,1.93992148565195,0.00478745908496092,"200","R",0.810708305210513
"195",51.3742924203667,0.0109293754049559,0.9499390110397,1.47846883679909,0.00524261923085979,"200","R",0.622017416500535
"196",52.152598442591,0.00686531590676828,0.970913630458856,1.64310365050026,0.00573021158993675,"200","R",0.808434422478414
"197",53.914585370445,0.0156834364463843,1.02135379652549,1.70493054838514,0.00537447213427641,"200","R",0.743510451695975
"198",51.2637809597639,0.00601343090856217,0.963608725096418,2.06589644560967,0.00614103297270831,"200","R",0.775757304296678
"199",50.9924258209789,0.0149336979270934,0.951832823153743,1.65348979737587,0.00563939791307007,"200","R",0.623845438797241
"200",52.491275631116,0.012607136071462,0.989472816598126,1.93895221321656,0.00518010933341162,"200","R",0.638067957926496
"201",52.168222489106,0.011915981289241,0.978926488821602,1.67816259326511,0.00597358513403898,"300","R",0.525147174938051
"202",52.8999448286703,0.0160407863166353,0.998156870434928,1.95867935686407,0.00486366141161206,"300","R",0.596236653689389
"203",50.4218215590654,0.0160596668514247,0.937018600314807,1.70083046543276,0.00551788256310455,"300","R",0.530848084607937
"204",51.7932772446719,0.0135403094751414,0.960716212889203,1.59922881676975,0.0047663894518661,"300","R",0.470061869266293
"205",50.4116733974026,0.013640331028158,0.939686654726887,2.04243682667093,0.00519262592247744,"300","R",0.602114020173053
"206",49.6717501046006,0.0236560102196076,0.923814182296438,2.04720216218334,0.0049190755922357,"300","R",0.652360565270751
"207",52.5762076219101,0.00977586219739135,0.978534482962027,1.61458108904786,0.0047399148175895,"300","R",0.556267118095249
"208",52.0761227582465,0.0184691412162892,0.980429469019522,1.74047719766273,0.00579849144817621,"300","R",0.532660415325619
"209",51.6784243166547,0.0176564085387872,0.977064704266641,1.93937281612629,0.00533644618668069,"300","R",0.562720850859933
"210",51.9187272858675,0.00848656507564851,0.961606340263429,1.62138831299738,0.00513854542067414,"300","R",0.504745783374509
"211",51.8564029063577,0.0151121951226931,0.972130844990643,1.76941730414214,0.00543853849000348,"300","R",0.532105720469082
"212",51.5468955406005,0.0133871419548209,0.966612664675645,1.87239932680218,0.00593004862744264,"300","R",0.565723980349395
"213",52.9948632316952,0.00443641110208365,0.991424506400021,1.69998434291946,0.00561391770738333,"300","R",0.51937030698253
"214",52.3725611945097,0.00364783278991066,0.98114655563529,1.90025856478454,0.00577475333863221,"300","R",0.554953914982776
"215",52.2980807122219,0.0112856726598559,0.979203972429122,1.85272915630808,0.00516977538225099,"300","R",0.562633478914049
"216",51.356737359615,0.0161963286612401,0.965998804984071,1.86936427361134,0.00575450504401958,"300","R",0.574115463391755
"217",54.839839416555,0.00485186316229561,1.03049229253956,1.54735178666001,0.00444807683725296,"300","R",0.611648477682961
"218",52.314486863771,0.0185840738144933,0.981474538661531,1.83073287657418,0.00431488679805889,"300","R",0.565475811709048
"219",53.0006228332239,0.00551435738790039,0.983784901799617,1.50875831049188,0.00471227815526493,"300","R",0.492476076878191
"220",51.6117204364143,0.00499335716183968,0.957996138548828,1.70815908582313,0.00592207622685391,"300","R",0.629597663726086
"221",51.1572608003447,0.00859905906422234,0.954034984152006,1.97045965149365,0.00599687836713896,"300","R",0.577141216501906
"222",50.917401613081,0.00903214382611867,0.95434630774222,2.21698365657627,0.00565929826941087,"300","R",0.686950361976765
"223",50.4787785119221,0.0134605238900574,0.938850791566756,1.59376936060894,0.0056803382462531,"300","R",0.496392320768082
"224",52.5724846051668,0.00982731780245688,0.985661145262355,1.69980789616672,0.0050077956369133,"300","R",0.560621211667389
"225",50.5336399758256,0.0159477727098265,0.948861572005008,1.8866429692045,0.00612535581781986,"300","R",0.542364906611508
"226",51.8419979126113,0.00669965764050344,0.968941846540995,1.77166012855467,0.00541534460476906,"300","R",0.536055764377986
"227",50.8471664797093,0.0108713932756611,0.945742901054789,1.90418560022931,0.00579694614691427,"300","R",0.61964155433875
"228",51.5999373054058,0.00957494435546413,0.965165697730188,1.76220556644493,0.00583931108947218,"300","R",0.599438783548256
"229",51.017150366187,0.0190707815017214,0.959353247040571,1.75688534895237,0.00523033716761348,"300","R",0.550743829799954
"230",51.4289782864922,0.0192972601222328,0.965345203140219,1.84495339271615,0.00559615407910568,"300","R",0.523902538651069
"231",51.9517822172549,0.00957129329255591,0.967185739733664,1.93860895020521,0.00445964130105506,"300","R",0.639757210796441
