"","loc.x1","loc.x2","y"
"141",5.375,-47.125,6.6599937476218
"142",5.375,-47.375,6.25999375656249
"143",5.375,-47.625,6.32999375499787
"144",5.375,-47.875,6.03999376147988
"145",5.625,-30.125,20.33999344185
"146",5.625,-30.375,20.2099934447557
"147",5.625,-30.625,20.1699934456498
"148",5.625,-30.875,20.1599934458733
"149",5.625,-31.125,20.0799934476614
"150",5.625,-31.375,19.6799934566021
"151",5.625,-31.625,19.5399934597314
"152",5.625,-31.875,19.6499934572727
"153",5.625,-32.125,19.5999934583903
"154",5.625,-32.375,19.5399934597314
"155",5.625,-32.625,19.4199934624136
"156",5.625,-32.875,19.1099934693426
"157",5.625,-33.125,18.9799934722483
"158",5.625,-33.375,19.0599934704602
"159",5.625,-33.625,19.179993467778
"160",5.625,-33.875,19.2799934655428
"161",5.625,-34.125,19.3399934642017
"162",5.625,-34.375,19.2399934664369
"163",5.625,-34.625,19.1699934680015
"164",5.625,-34.875,19.1299934688956
"165",5.625,-35.125,19.2899934653193
"166",5.625,-35.375,19.5399934597314
"167",5.625,-35.625,19.5099934604019
"168",5.625,-35.875,19.0999934695661
"169",5.625,-36.125,18.9699934724719
"170",5.625,-36.375,18.8099934760481
"171",5.625,-36.625,18.6399934798479
"172",5.625,-36.875,18.6999934785068
"173",5.625,-37.125,18.599993480742
"174",5.625,-37.375,17.9799934946001
"175",5.625,-37.625,17.4199935071171
"176",5.625,-37.875,16.6299935247749
"177",5.625,-38.125,15.9299935404212
"178",5.625,-38.375,15.469993550703
"179",5.625,-38.625,15.6199935473502
"180",5.625,-38.875,15.4799935504794
"181",5.625,-39.125,14.8799935638905
"182",5.625,-39.375,13.9699935842306
"183",5.625,-39.625,14.3399935759604
"184",5.625,-39.875,14.4399935737252
"185",5.625,-40.125,13.8299935873598
"186",5.625,-40.375,13.1399936027825
"187",5.625,-40.625,13.2699935998768
"188",5.625,-40.875,13.129993603006
"189",5.625,-41.125,13.6499935913831
"190",5.625,-41.375,13.5799935929477
"191",5.625,-41.625,13.5499935936183
"192",5.625,-41.875,12.859993609041
"193",5.625,-42.125,12.4599936179817
"194",5.625,-42.375,11.1499936472625
"195",5.625,-42.625,10.8899936530739
"196",5.625,-42.875,10.5099936615676
"197",5.625,-43.125,10.3099936660379
"198",5.625,-43.375,10.5199936613441
"199",5.625,-43.625,10.5499936606735
"200",5.625,-43.875,10.3299936655909
"201",5.625,-44.125,10.1499936696142
"202",5.625,-44.375,10.0299936722964
"203",5.625,-44.625,9.97999367341401
"204",5.625,-44.875,9.42999368570747
"205",5.625,-45.125,8.63999370336535
"206",5.625,-45.375,8.26999371163549
"207",5.625,-45.625,8.13999371454122
"208",5.625,-45.875,7.59999372661116
"209",5.625,-46.125,7.33999373242261
"210",5.625,-46.375,7.02999373935165
"211",5.625,-46.625,6.68999374695125
"212",5.625,-46.875,6.74999374561014
"213",5.625,-47.125,6.33999375477435
"214",5.625,-47.375,6.07999376058581
"215",5.625,-47.625,6.08999376036229
"216",5.625,-47.875,5.35999377667906
"217",5.875,-30.125,20.319993442297
"218",5.875,-30.375,20.1399934463203
"219",5.875,-30.625,20.1799934454262
"220",5.875,-30.875,20.2499934438616
"221",5.875,-31.125,20.049993448332
"222",5.875,-31.375,19.6299934577197
"223",5.875,-31.625,19.489993460849
"224",5.875,-31.875,19.5399934597314
"225",5.875,-32.125,19.6099934581667
"226",5.875,-32.375,19.6799934566021
"227",5.875,-32.625,19.4799934610725
"228",5.875,-32.875,19.1199934691191
"229",5.875,-33.125,18.9399934731424
"230",5.875,-33.375,18.8999934740365
"231",5.875,-33.625,19.0399934709072
"232",5.875,-33.875,19.1399934686721
"233",5.875,-34.125,19.2599934659899
"234",5.875,-34.375,19.2299934666604
"235",5.875,-34.625,19.1699934680015
"236",5.875,-34.875,19.3399934642017
"237",5.875,-35.125,19.5999934583903
"238",5.875,-35.375,19.6099934581667
"239",5.875,-35.625,19.3699934635312
"240",5.875,-35.875,19.0399934709072
"241",5.875,-36.125,19.1199934691191
"242",5.875,-36.375,18.8499934751541
"243",5.875,-36.625,18.7699934769422
"244",5.875,-36.875,18.7599934771657
"245",5.875,-37.125,18.4199934847653
"246",5.875,-37.375,17.9899934943766
"247",5.875,-37.625,17.4999935053289
"248",5.875,-37.875,16.9699935171753
"249",5.875,-38.125,16.5599935263396
"250",5.875,-38.375,15.9999935388565
"251",5.875,-38.625,15.98999353908
"252",5.875,-38.875,15.7499935444445
"253",5.875,-39.125,15.179993557185
"254",5.875,-39.375,14.6199935697019
"255",5.875,-39.625,14.6799935683608
"256",5.875,-39.875,14.3899935748428
"257",5.875,-40.125,14.3299935761839
"258",5.875,-40.375,13.45999359563
"259",5.875,-40.625,13.4099935967475
"260",5.875,-40.875,13.1099936034531
"261",5.875,-41.125,13.5899935927242
"262",5.875,-41.375,13.3899935971946
"263",5.875,-41.625,13.2899935994297
"264",5.875,-41.875,12.7699936110527
"265",5.875,-42.125,12.0899936262518
"266",5.875,-42.375,10.8599936537445
"267",5.875,-42.625,10.7499936562032
"268",5.875,-42.875,10.249993667379
"269",5.875,-43.125,9.99999367296698
"270",5.875,-43.375,10.1599936693907
"271",5.875,-43.625,10.3699936646968
"272",5.875,-43.875,10.3999936640263
"273",5.875,-44.125,10.3899936642498
"274",5.875,-44.375,10.4499936629087
"275",5.875,-44.625,9.9299936745316
"276",5.875,-44.875,9.43999368548396
"277",5.875,-45.125,8.61999370381238
"278",5.875,-45.375,8.42999370805921
"279",5.875,-45.625,8.04999371655288
"280",5.875,-45.875,7.48999372906985
